name,continent_name,city,country
"Shangri-La Hotel, Beijing",Asia,Beijing,China
InterContinental Beijing Sanlitun,Asia,Beijing,China
Holiday Inn Express Beijing Yizhuang,Asia,Beijing,China
"Shangri-La China World Summit Wing, Beijing",Asia,Beijing,China
Kerry Hotel Beijing,Asia,Beijing,China
The Bulgari Hotel Beijing,Asia,Beijing,China
Crowne Plaza Beijing Sun Palace,Asia,Beijing,China
Crowne Plaza Beijing Chaoyang U-Town,Asia,Beijing,China
Regent Beijing,Asia,Beijing,China
Park Hyatt Beijing,Asia,Beijing,China
Holiday Inn Express Beijing Wangjing,Asia,Beijing,China
Holiday Inn Express Beijing Badaling,Asia,Beijing,China
Zhong'ao Kaifu International Hotel,Asia,Beijing,China
Holiday Inn Express Beijing Minzuyuan,Asia,Beijing,China
Hotel Jen Beijing by Shangri-La,Asia,Beijing,China
"Mandarin Oriental Wangfujing, Beijing",Asia,Beijing,China
"VUE Hotel Hou Hai, Beijing",Asia,Beijing,China
EAST Beijing,Asia,Beijing,China
Fairmont Beijing,Asia,Beijing,China
Hotel Eclat Beijing,Asia,Beijing,China
Sofitel Beijing Central,Asia,Beijing,China
Grand Mercure Beijing Dongcheng,Asia,Beijing,China
Shangri-La's China World Hotel,Asia,Beijing,China
CHAO Sanlitun Beijing,Asia,Beijing,China
Four Seasons Hotel Beijing,Asia,Beijing,China
The Opposite House,Asia,Beijing,China
NUO Hotel Beijing,Asia,Beijing,China
Yanqi Hotel Beijing Managed by Kempinski,Asia,Beijing,China
"Sunrise Kempinski Hotel, Beijing",Asia,Beijing,China
The PuXuan Hotel and Spa,Asia,Beijing,China
Kerry Hotel Pudong Shanghai,Asia,Shanghai,China
"Jing An Shangri-La, West Shanghai",Asia,Shanghai,China
The Middle House Shanghai,Asia,Shanghai,China
"The Portman Ritz-Carlton, Shanghai",Asia,Shanghai,China
The Sukhothai Shanghai,Asia,Shanghai,China
Grand Kempinski Hotel Shanghai,Asia,Shanghai,China
"The Ritz-Carlton Shanghai, Pudong",Asia,Shanghai,China
Cachet Boutique Shanghai,Asia,Shanghai,China
DoubleTree by Hilton Shanghai-Pudong,Asia,Shanghai,China
Ramada Plaza Pudong Shanghai,Asia,Shanghai,China
Fairmont Peace Hotel,Asia,Shanghai,China
The Langham Shanghai Xintiandi,Asia,Shanghai,China
Pullman Shanghai Qingpu Excellence,Asia,Shanghai,China
Bulgari Hotel Shanghai,Asia,Shanghai,China
The Peninsula Shanghai,Asia,Shanghai,China
URBN Boutique Shanghai,Asia,Shanghai,China
Sofitel Shanghai Hyland,Asia,Shanghai,China
Okura Garden Hotel Shanghai,Asia,Shanghai,China
InterContinental Shanghai Expo,Asia,Shanghai,China
Swissotel Grand Shanghai,Asia,Shanghai,China
Amara Signature Shanghai,Asia,Shanghai,China
Jin Jiang Tower,Asia,Shanghai,China
"Les Suites Orient, Bund Shanghai",Asia,Shanghai,China
Boyue Shanghai Hongqiao Airport Hotel,Asia,Shanghai,China
Shanghai Blue Mountain Bund Youth Hostel,Asia,Shanghai,China
Evergreen Laurel Hotel Shanghai,Asia,Shanghai,China
Modena By Fraser Putuo Shanghai,Asia,Shanghai,China
Campanile Shanghai Natural History Museum Hotel,Asia,Shanghai,China
Hilton Garden Inn Shanghai Hongqiao NECC,Asia,Shanghai,China
Ramada Pudong Airport Shanghai,Asia,Shanghai,China
Grand Hyatt Shenzhen,Asia,Shenzhen,China
Hilton Shenzhen Shekou Nanhai,Asia,Shenzhen,China
"The Ritz-Carlton, Shenzhen",Asia,Shenzhen,China
Sheraton Shenzhen Nanshan,Asia,Shenzhen,China
The St. Regis Shenzhen,Asia,Shenzhen,China
Wyndham Grand Shenzhen,Asia,Shenzhen,China
Shangri-la Hotel Shenzhen,Asia,Shenzhen,China
